title,studio,foreign_gross,year,original_language,popularity,release_date,vote_count,production_budget,domestic_gross,worldwide_gross,vote_average,start_year,runtime_minutes,genres,averagerating,numvotes,profit,profit_margin,release_month,release_month_name,release_quarter
the conspirator,RAtt.,3900000.0,2011,en,6.493,2011-04-15,226,25000000.0,11538204.0,15907411.0,6.5,2010,122.0,"Crime,Drama,History",6.9,26416,-9092589.0,-0.36370356,4,April,2
anonymous,Sony,10900000.0,2011,en,8.114,2011-10-28,434,27500000.0,4463292.0,15815509.0,6.4,2011,130.0,"Drama,Thriller",6.9,37932,-11684491.0,-0.42489058181818185,10,October,4
beginners,Focus,8500000.0,2011,en,10.322,2011-06-17,532,3200000.0,5790894.0,14314407.0,6.9,2010,105.0,"Comedy,Drama,Romance",7.2,83770,11114407.0,3.4732521875,6,June,2
snow flower and the secret fan,FoxS,10000000.0,2011,en,4.519,2011-07-15,39,6000000.0,1348205.0,11348205.0,5.9,2011,104.0,"Drama,History",6.1,3429,5348205.0,0.8913675,7,July,3
le havre,Jan.,9900000.0,2011,fr,5.973,2011-10-21,169,5500000.0,611709.0,13480196.0,6.9,2011,93.0,"Comedy,Drama",7.2,18490,7980196.0,1.4509447272727272,10,October,4
point blank,Magn.,8500000.0,2011,fr,6.021,2011-07-29,230,3000000.0,0.0,0.0,6.6,2010,81.0,"Action,Crime,Drama",6.8,12706,-3000000.0,-1.0,7,July,3
point blank,Magn.,8500000.0,2011,fr,6.021,2011-07-29,230,3000000.0,0.0,0.0,6.6,2015,92.0,"Crime,Documentary,History",8.2,15,-3000000.0,-1.0,7,July,3
the big year,Fox,244000.0,2011,en,7.077,2011-10-14,393,41000000.0,7204138.0,7684524.0,5.8,2011,100.0,Comedy,6.2,39522,-33315476.0,-0.8125725853658536,10,October,4
the beaver,Sum.,6300000.0,2011,en,7.357,2011-05-05,464,21000000.0,970816.0,5046038.0,6.3,2011,91.0,Drama,6.7,45173,-15953962.0,-0.7597124761904762,5,May,2
we need to talk about kevin,Osci.,4300000.0,2011,en,11.964,2011-12-09,1306,7000000.0,1738692.0,10765283.0,7.6,2011,112.0,"Drama,Mystery,Thriller",7.5,123619,3765283.0,0.5378975714285714,12,December,4
attack the block,SGem,4800000.0,2011,en,9.612,2011-07-29,1144,13000000.0,1024175.0,6459183.0,6.4,2011,88.0,"Action,Comedy,Sci-Fi",6.7,93868,-6540817.0,-0.5031397692307692,7,July,3
dylan dog dead of night,OMNI/FSR,3400000.0,2011,en,7.508,2011-11-01,243,20000000.0,1186538.0,6093725.0,4.4,2010,107.0,"Action,Comedy,Crime",5.1,14120,-13906275.0,-0.69531375,11,November,4
like crazy,ParV,336000.0,2011,en,10.091,2011-10-28,638,250000.0,3395391.0,3728400.0,6.5,2011,86.0,"Drama,Romance",6.7,55841,3478400.0,13.9136,10,October,4
like crazy,ParV,336000.0,2011,en,10.091,2011-10-28,638,250000.0,3395391.0,3728400.0,6.5,2016,116.0,"Comedy,Drama",7.2,7156,3478400.0,13.9136,10,October,4
martha marcy may marlene,FoxS,548000.0,2011,en,9.477,2011-10-21,413,1000000.0,2981038.0,5438911.0,6.7,2011,102.0,"Drama,Mystery,Thriller",6.9,45873,4438911.0,4.438911,10,October,4
machine gun preacher,Rela.,2800000.0,2011,en,9.12,2011-09-23,477,30000000.0,538690.0,3721988.0,6.5,2011,129.0,"Action,Biography,Crime",6.8,60074,-26278012.0,-0.8759337333333334,9,September,3
take shelter,SPC,1400000.0,2011,en,11.236,2011-09-30,787,4750000.0,1728953.0,4972016.0,7.2,2011,121.0,"Drama,Horror,Thriller",7.4,83200,222016.0,0.04674021052631579,9,September,3
brighton rock,IFC,1600000.0,2011,en,4.749,2011-08-26,57,11000000.0,229653.0,229653.0,6.0,2010,111.0,"Crime,Drama,Thriller",5.7,5784,-10770347.0,-0.9791224545454545,8,August,3
another earth,FoxS,456000.0,2011,en,10.03,2011-07-22,853,175000.0,1321194.0,2102779.0,6.7,2011,92.0,"Drama,Romance,Sci-Fi",7.0,85839,1927779.0,11.01588,7,July,3
submarine,Wein.,397000.0,2011,en,7.412,2011-06-03,770,1900000.0,467602.0,4581937.0,7.4,2010,97.0,"Comedy,Drama,Romance",7.3,79810,2681937.0,1.4115457894736843,6,June,2
blackthorn,Magn.,423000.0,2011,en,7.548,2011-10-07,111,4500000.0,200558.0,1217307.0,6.7,2011,102.0,"Action,Adventure,Western",6.6,8553,-3282693.0,-0.7294873333333334,10,October,4
the other woman,IFC,427000.0,2011,en,9.15,2011-02-04,220,40000000.0,83911193.0,195111193.0,6.2,2014,109.0,"Comedy,Romance",6.0,122889,155111193.0,3.877779825,2,February,1
another happy day,P4,347000.0,2011,en,5.473,2011-11-18,60,4000000.0,9120.0,978527.0,6.1,2011,119.0,"Comedy,Drama",6.0,3793,-3021473.0,-0.75536825,11,November,4
skyfall,Sony,804200000.0,2012,en,19.27,2012-11-09,10441,200000000.0,304360277.0,1110526981.0,7.1,2012,143.0,"Action,Adventure,Thriller",7.8,592221,910526981.0,4.552634905,11,November,4
the dark knight rises,WB,636800000.0,2012,en,26.22,2012-07-20,13933,275000000.0,448139099.0,1084439099.0,7.7,2012,164.0,"Action,Thriller",8.4,1387769,809439099.0,2.9434149054545453,7,July,3
the hobbit an unexpected journey,WB (NL),718100000.0,2012,en,26.939,2012-12-14,12076,250000000.0,303003568.0,1017003568.0,7.2,2012,169.0,"Adventure,Family,Fantasy",7.9,719629,767003568.0,3.068014272,12,December,4
ice age continental drift,Fox,715900000.0,2012,en,17.537,2012-07-13,4598,95000000.0,161321843.0,879765137.0,6.3,2012,88.0,"Adventure,Animation,Comedy",6.6,175601,784765137.0,8.26068565263158,7,July,3
the twilight saga breaking dawn part 2,LG/S,537400000.0,2012,en,16.542,2012-11-16,5130,136200000.0,292324737.0,829724737.0,6.3,2012,115.0,"Adventure,Drama,Fantasy",5.5,215079,693524737.0,5.0919584214390605,11,November,4
the amazing spiderman,Sony,495900000.0,2012,en,24.391,2012-07-04,10411,220000000.0,262030663.0,757890267.0,6.5,2012,136.0,"Action,Adventure,Sci-Fi",7.0,525632,537890267.0,2.444955759090909,7,July,3
madagascar 3 europes most wanted,P/DW,530500000.0,2012,en,18.705,2012-06-08,3380,145000000.0,216391482.0,746921271.0,6.5,2012,93.0,"Adventure,Animation,Comedy",6.8,146858,601921271.0,4.151181179310345,6,June,2
the hunger games,LGF,286400000.0,2012,en,14.212,2012-03-23,14587,80000000.0,408010692.0,677923379.0,7.1,2012,142.0,"Action,Adventure,Sci-Fi",7.2,795227,597923379.0,7.4740422375,3,March,1
life of pi,Fox,484000000.0,2012,en,15.0,2012-11-21,8723,120000000.0,124987022.0,620912003.0,7.3,2012,127.0,"Adventure,Drama,Fantasy",7.9,535836,500912003.0,4.174266691666666,11,November,4
ted,Uni.,330600000.0,2012,en,14.475,2012-06-29,7727,50000000.0,218665740.0,556016627.0,6.3,2012,106.0,"Comedy,Fantasy",6.9,538367,506016627.0,10.12033254,6,June,2
brave,BV,303200000.0,2012,th,0.6,2010-01-19,1,185000000.0,237282182.0,554606532.0,5.0,2012,93.0,"Adventure,Animation,Comedy",7.1,338728,369606532.0,1.997873145945946,1,January,1
wreckit ralph,BV,281800000.0,2012,en,22.967,2012-11-02,7780,165000000.0,189412677.0,496511521.0,7.3,2012,101.0,"Adventure,Animation,Comedy",7.7,344496,331511521.0,2.0091607333333332,11,November,4
django unchained,Wein.,262600000.0,2012,en,21.26,2012-12-25,15725,100000000.0,162805434.0,449948323.0,8.0,2012,165.0,"Drama,Western",8.4,1211405,349948323.0,3.49948323,12,December,4
prometheus,Fox,276900000.0,2012,en,24.98,2012-06-08,7384,125000000.0,126477084.0,402448265.0,6.4,2012,124.0,"Adventure,Mystery,Sci-Fi",7.0,538720,277448265.0,2.21958612,6,June,2
snow white and the huntsman,Uni.,241300000.0,2012,en,21.233,2012-06-01,5258,170000000.0,155136755.0,401021746.0,5.9,2012,127.0,"Action,Adventure,Drama",6.1,258938,231021746.0,1.3589514470588235,6,June,2
taken 2,Fox,236300000.0,2012,en,16.078,2012-10-04,4035,45000000.0,139854287.0,377807404.0,6.2,2012,92.0,"Action,Thriller",6.3,273106,332807404.0,7.395720088888889,10,October,4
hotel transylvania,Sony,210100000.0,2012,en,15.318,2012-09-28,5013,85000000.0,148313048.0,378505812.0,6.9,2012,91.0,"Animation,Comedy,Family",7.1,204571,293505812.0,3.4530095529411766,9,September,3
journey 2 the mysterious island,WB (NL),231400000.0,2012,en,14.454,2012-02-10,2152,79000000.0,103860290.0,318146162.0,5.9,2012,94.0,"Action,Adventure,Comedy",5.8,83507,239146162.0,3.027166607594937,2,February,1
the expendables 2,LGF,229900000.0,2012,en,17.216,2012-08-17,4219,100000000.0,85028192.0,311979256.0,6.2,2012,103.0,"Action,Adventure,Thriller",6.6,277584,211979256.0,2.11979256,8,August,3
rise of the guardians,P/DW,203500000.0,2012,en,14.934,2012-11-21,3697,145000000.0,103412758.0,306900902.0,7.3,2012,97.0,"Action,Adventure,Animation",7.3,145281,161900902.0,1.1165579448275862,11,November,4
wrath of the titans,WB,221600000.0,2012,en,14.991,2012-03-29,2442,150000000.0,83670083.0,305270083.0,5.6,2012,99.0,"Action,Adventure,Fantasy",5.7,172330,155270083.0,1.0351338866666666,3,March,1
battleship,Uni.,237600000.0,2012,en,21.742,2012-05-18,3240,220000000.0,65233400.0,313477717.0,5.6,2012,131.0,"Action,Adventure,Sci-Fi",5.8,225342,93477717.0,0.4248987136363636,5,May,2
john carter,BV,211100000.0,2012,en,18.549,2012-03-09,3338,275000000.0,73058679.0,282778100.0,6.1,2012,132.0,"Action,Adventure,Sci-Fi",6.6,241792,7778100.0,0.028284,3,March,1
the bourne legacy,Uni.,162900000.0,2012,en,18.05,2012-08-10,3630,125000000.0,113203870.0,280355920.0,6.1,2012,135.0,"Action,Adventure,Thriller",6.7,268678,155355920.0,1.24284736,8,August,3
lincoln,BV,93100000.0,2012,en,12.693,2012-11-16,2261,65000000.0,182207973.0,273346281.0,6.8,2012,150.0,"Biography,Drama,History",7.4,228701,208346281.0,3.2053274,11,November,4
dark shadows,WB,165800000.0,2012,en,15.75,2012-05-11,4197,150000000.0,79727149.0,238202668.0,5.9,2012,113.0,"Comedy,Fantasy,Horror",6.2,229818,88202668.0,0.5880177866666667,5,May,2
resident evil retribution,SGem,197700000.0,2012,en,1.325,2012-09-14,2321,65000000.0,42345531.0,240647629.0,5.7,2012,95.0,"Action,Horror,Sci-Fi",5.4,125191,175647629.0,2.7022712153846156,9,September,3
silver linings playbook,Wein.,104300000.0,2012,en,15.351,2012-12-25,7636,21000000.0,132092958.0,236412453.0,7.1,2012,122.0,"Comedy,Drama,Romance",7.7,621018,215412453.0,10.257735857142857,12,December,4
american reunion,Uni.,178000000.0,2012,en,17.199,2012-04-06,2679,50000000.0,56758835.0,236799211.0,6.2,2012,113.0,Comedy,6.7,192250,186799211.0,3.73598422,4,April,2
argo,WB,96300000.0,2012,en,15.793,2012-10-12,5127,44500000.0,136025503.0,227140757.0,7.2,2012,120.0,"Biography,Drama,Thriller",7.7,534683,182640757.0,4.104286674157303,10,October,4
jack reacher,Par.,138300000.0,2012,en,18.312,2012-12-21,4155,60000000.0,80070736.0,217370736.0,6.4,2012,130.0,"Action,Crime,Thriller",7.0,284547,157370736.0,2.6228456,12,December,4
safe house,Uni.,81700000.0,2012,en,13.116,2012-02-10,1997,85000000.0,126181630.0,208542162.0,6.4,2012,115.0,"Action,Adventure,Crime",6.8,192655,123542162.0,1.4534372,2,February,1
21 jump street,Sony,63100000.0,2012,en,14.836,2012-03-12,6527,42000000.0,138447667.0,202812429.0,6.8,2012,109.0,"Action,Comedy,Crime",7.2,477771,160812429.0,3.8288673571428573,3,March,1
the vow,SGem,71100000.0,2012,en,13.046,2012-02-10,2409,30000000.0,125014030.0,197618160.0,7.1,2012,104.0,"Drama,Romance",6.8,173629,167618160.0,5.587272,2,February,1
mirror mirror,Rela.,118100000.0,2012,en,13.221,2012-03-30,2099,85000000.0,64935167.0,173613482.0,5.8,2010,83.0,"Fantasy,Sci-Fi,Thriller",5.8,13,88613482.0,1.0425115529411764,3,March,1
mirror mirror,Rela.,118100000.0,2012,en,13.221,2012-03-30,2099,85000000.0,64935167.0,173613482.0,5.8,2012,106.0,"Adventure,Comedy,Drama",5.6,79510,88613482.0,1.0425115529411764,3,March,1
the impossible,LG/S,161300000.0,2012,en,14.66,2012-12-04,3614,40000000.0,19019882.0,169590606.0,7.2,2012,114.0,"Drama,History,Thriller",7.6,177762,129590606.0,3.23976515,12,December,4
the dictator,Par.,119700000.0,2012,en,12.592,2012-05-16,3042,65000000.0,59650222.0,180148897.0,6.0,2012,83.0,Comedy,6.4,250976,115148897.0,1.7715214923076923,5,May,2
looper,TriS,110000000.0,2012,en,16.779,2012-09-28,6723,30000000.0,66486205.0,170466405.0,6.8,2012,113.0,"Action,Crime,Drama",7.4,500595,140466405.0,4.6822135,9,September,3
magic mike,WB,53500000.0,2012,en,13.7,2012-06-29,1850,7000000.0,113721571.0,170549753.0,6.1,2012,110.0,"Comedy,Drama",6.1,123955,163549753.0,23.364250428571427,6,June,2
flight,Par.,68000000.0,2012,en,11.692,2012-11-02,3582,31000000.0,93772375.0,160558438.0,6.7,2012,138.0,"Drama,Thriller",7.3,303009,129558438.0,4.179304451612904,11,November,4
underworld awakening,SGem,97800000.0,2012,en,13.242,2012-01-19,2588,70000000.0,62321039.0,160379930.0,6.2,2012,88.0,"Action,Fantasy,Horror",6.4,138350,90379930.0,1.2911418571428572,1,January,1
this means war,Fox,101700000.0,2012,en,12.017,2012-02-17,2096,65000000.0,54760791.0,156974557.0,6.0,2012,103.0,"Action,Comedy,Romance",6.3,167438,91974557.0,1.4149931846153847,2,February,1
paranormal activity 4,Par.,88900000.0,2012,en,8.965,2012-10-19,1026,5000000.0,53900335.0,142817992.0,5.4,2012,88.0,"Horror,Mystery,Thriller",4.6,58408,137817992.0,27.5635984,10,October,4
step up revolution,LG/S,105400000.0,2012,en,10.925,2012-07-27,1252,33000000.0,35074677.0,165552290.0,6.8,2012,99.0,"Drama,Music,Romance",6.5,51295,132552290.0,4.0167360606060605,7,July,3
the best exotic marigold hotel,FoxS,90400000.0,2012,en,8.665,2012-05-25,756,10000000.0,46383639.0,134639780.0,6.9,2011,124.0,"Comedy,Drama,Romance",7.3,85811,124639780.0,12.463978,5,May,2
zero dark thirty,Sony,37100000.0,2012,en,14.239,2012-12-19,2553,52500000.0,95720716.0,134612435.0,6.9,2012,157.0,"Drama,Thriller",7.4,251072,82112435.0,1.564046380952381,12,December,4
ghost rider spirit of vengeance,Sony,80800000.0,2012,en,18.678,2011-12-10,2039,57000000.0,51774002.0,149217355.0,4.8,2011,96.0,"Action,Fantasy,Thriller",4.3,103608,92217355.0,1.6178483333333333,12,December,4
cloud atlas,WB,103400000.0,2012,en,14.681,2012-10-26,4505,102000000.0,27108272.0,130673154.0,6.8,2012,172.0,"Action,Drama,Mystery",7.4,326473,28673154.0,0.28110935294117645,10,October,4
the woman in black,CBS,73400000.0,2012,en,12.781,2012-02-03,2122,15000000.0,54333290.0,128955898.0,6.1,2012,95.0,"Drama,Fantasy,Horror",6.4,165357,113955898.0,7.597059866666667,2,February,1
parental guidance,Fox,42500000.0,2012,en,10.124,2012-12-25,276,25000000.0,77267296.0,120832383.0,5.8,2012,105.0,"Comedy,Family",6.1,23711,95832383.0,3.83329532,12,December,4
abraham lincoln vampire hunter,Fox,79000000.0,2012,en,12.498,2012-06-22,2009,67500000.0,37519139.0,137489730.0,5.6,2012,105.0,"Action,Fantasy,Horror",5.9,142853,69989730.0,1.0368848888888889,6,June,2
pitch perfect,Uni.,50300000.0,2012,en,13.886,2012-09-28,4233,17000000.0,65001093.0,116044347.0,7.3,2012,112.0,"Comedy,Music,Romance",7.2,256565,99044347.0,5.826138058823529,9,September,3
hope springs,Sony,50700000.0,2012,en,8.313,2012-08-07,429,30000000.0,63536011.0,133085295.0,6.1,2012,100.0,"Comedy,Drama,Romance",6.3,38667,103085295.0,3.4361765,8,August,3
paranorman,Focus,51100000.0,2012,en,13.32,2012-08-17,1358,60000000.0,56003051.0,108119662.0,6.8,2012,92.0,"Adventure,Animation,Comedy",7.0,87250,48119662.0,0.8019943666666667,8,August,3
the campaign,WB,18000000.0,2012,en,10.266,2012-08-10,982,95000000.0,86907746.0,104907746.0,5.7,2012,85.0,Comedy,6.1,118678,9907746.0,0.10429206315789474,8,August,3
the campaign,WB,18000000.0,2012,en,10.266,2012-08-10,982,95000000.0,86907746.0,104907746.0,5.7,2013,60.0,Documentary,6.9,14,9907746.0,0.10429206315789474,8,August,3
project x,WB,48000000.0,2012,en,9.715,2012-03-02,2968,12000000.0,54731865.0,103028188.0,6.4,2012,88.0,Comedy,6.7,177782,91028188.0,7.585682333333334,3,March,1
the devil inside,Par.,48500000.0,2012,en,7.403,2012-01-06,441,1000000.0,53262945.0,101759490.0,4.7,2012,83.0,Horror,4.2,33522,100759490.0,100.75949,1,January,1
the lucky one,WB,38900000.0,2012,en,13.14,2012-04-20,2012,25000000.0,60457138.0,96633833.0,6.9,2012,101.0,"Drama,Romance",6.5,94359,71633833.0,2.86535332,4,April,2
contraband,Uni.,29700000.0,2012,en,12.357,2012-01-13,1114,25000000.0,66528000.0,98406855.0,6.2,2012,109.0,"Action,Crime,Drama",6.5,111709,73406855.0,2.9362742,1,January,1
think like a man,SGem,4500000.0,2012,en,5.905,2012-04-20,438,12000000.0,91547205.0,113373764.0,6.9,2012,122.0,"Comedy,Romance",6.6,41043,101373764.0,8.447813666666667,4,April,2
this is 40,Uni.,20500000.0,2012,en,8.132,2012-12-21,1296,35000000.0,67544505.0,90221182.0,5.7,2012,134.0,"Comedy,Romance",6.2,118862,55221182.0,1.577748057142857,12,December,4
the possession,LGF,36300000.0,2012,en,8.978,2012-08-31,918,14000000.0,49130588.0,82925064.0,5.9,2012,92.0,"Horror,Mystery,Thriller",5.9,53649,68925064.0,4.9232188571428575,8,August,3
what to expect when youre expecting,LGF,43200000.0,2012,en,12.27,2012-05-18,1130,37500000.0,41152203.0,88473016.0,5.9,2012,110.0,"Comedy,Drama,Romance",5.7,65890,50973016.0,1.3592804266666667,5,May,2
frankenweenie,BV,46200000.0,2012,en,14.627,2012-10-05,1685,39000000.0,35287788.0,81150788.0,6.8,2012,87.0,"Animation,Comedy,Family",7.0,89489,42150788.0,1.080789435897436,10,October,4
act of valor,Rela.,11300000.0,2012,en,12.197,2012-02-24,583,12000000.0,70012847.0,82497035.0,6.3,2012,110.0,"Action,Adventure,Drama",6.5,63787,70497035.0,5.874752916666667,2,February,1
sinister,LG/S,29600000.0,2012,en,0.6,2011-05-03,8,3000000.0,48086903.0,87727807.0,3.8,2012,110.0,"Horror,Mystery,Thriller",6.8,198345,84727807.0,28.242602333333334,5,May,2
the grey,ORF,25700000.0,2012,en,12.942,2012-01-27,2280,25000000.0,51580136.0,81249176.0,6.5,2011,117.0,"Action,Adventure,Drama",6.8,228798,56249176.0,2.24996704,1,January,1
diary of a wimpy kid dog days,Fox,28100000.0,2012,en,11.36,2012-08-03,440,22000000.0,49008662.0,77229695.0,6.2,2012,94.0,"Comedy,Family",6.3,19571,55229695.0,2.510440681818182,8,August,3
to rome with love,SPC,56600000.0,2012,en,9.563,2012-06-22,1097,21500000.0,16684352.0,74326015.0,5.7,2012,112.0,"Comedy,Music,Romance",6.3,79381,52826015.0,2.457023953488372,6,June,2
here comes the boom,Sony,27800000.0,2012,en,10.265,2012-10-12,812,42000000.0,45290318.0,73239258.0,6.0,2012,105.0,"Action,Comedy,Sport",6.4,81761,31239258.0,0.7437918571428571,10,October,4
anna karenina,Focus,56100000.0,2012,en,9.987,2012-11-16,1265,49000000.0,12816367.0,71004627.0,6.7,2012,129.0,"Drama,Romance",6.6,84668,22004627.0,0.44907402040816324,11,November,4
the watch,Fox,32900000.0,2012,en,10.228,2012-07-27,1356,55000000.0,34353000.0,67130045.0,5.4,2012,102.0,"Action,Comedy,Horror",5.7,115757,12130045.0,0.22054627272727273,7,July,3
moonrise kingdom,Focus,22800000.0,2012,en,14.086,2012-05-25,3023,16000000.0,45512466.0,68848446.0,7.7,2012,94.0,"Adventure,Comedy,Drama",7.8,291750,52848446.0,3.303027875,5,May,2
the cabin in the woods,LGF,24400000.0,2012,en,15.336,2012-04-12,4185,30000000.0,42073277.0,70689968.0,6.5,2011,95.0,Horror,7.0,338445,40689968.0,1.3563322666666666,4,April,2
rock of ages,WB (NL),20900000.0,2012,en,11.369,2012-06-15,686,70000000.0,38518613.0,61031932.0,6.1,2012,123.0,"Comedy,Drama,Musical",5.9,69910,-8968068.0,-0.12811525714285715,6,June,2
thats my boy,Sony,20800000.0,2012,en,12.817,2012-06-15,831,57500000.0,36931089.0,58085235.0,5.5,2012,116.0,Comedy,5.6,83009,585235.0,0.010178,6,June,2
the odd life of timothy green,BV,4200000.0,2012,en,9.216,2012-08-15,605,40000000.0,51853450.0,55249159.0,6.7,2012,105.0,"Comedy,Drama,Family",6.6,42770,15249159.0,0.381228975,8,August,3
the three stooges,Fox,10500000.0,2012,en,9.358,2012-04-13,215,30000000.0,44338224.0,54052249.0,5.1,2012,92.0,"Comedy,Family",5.1,28570,24052249.0,0.8017416333333334,4,April,2
the fiveyear engagement,Uni.,25100000.0,2012,en,10.729,2012-04-27,742,30000000.0,28700285.0,61623819.0,5.8,2012,124.0,"Comedy,Romance",6.2,88469,31623819.0,1.0541273,4,April,2
lawless,Wein.,16300000.0,2012,en,12.147,2012-08-29,1660,26000000.0,37397291.0,54393687.0,7.0,2012,116.0,"Crime,Drama",7.3,214055,28393687.0,1.0920648846153846,8,August,3
red tails,Fox,489000.0,2012,en,10.247,2012-01-11,256,58000000.0,49876377.0,50365498.0,6.0,2012,125.0,"Action,Adventure,Drama",5.9,31815,-7634502.0,-0.1316293448275862,1,January,1
trouble with the curve,WB,13200000.0,2012,en,8.548,2012-09-21,613,60000000.0,35763137.0,47818913.0,6.7,2012,111.0,"Drama,Sport",6.8,56129,-12181087.0,-0.20301811666666666,9,September,3
end of watch,ORF,7100000.0,2012,en,13.152,2012-09-21,1770,15000000.0,41003371.0,57586606.0,7.3,2012,109.0,"Action,Crime,Drama",7.6,211308,42586606.0,2.8391070666666667,9,September,3
man on a ledge,LG/S,27600000.0,2012,en,11.263,2012-01-27,1460,42000000.0,18620000.0,49621440.0,6.3,2012,102.0,"Action,Adventure,Crime",6.6,137507,7621440.0,0.18146285714285715,1,January,1
house at the end of the street,Rela.,12700000.0,2012,en,8.72,2012-09-21,1033,6900000.0,31611916.0,44103982.0,5.8,2012,101.0,"Drama,Horror,Thriller",5.6,66303,37203982.0,5.391881449275362,9,September,3
the guilt trip,Par.,4700000.0,2012,en,8.939,2012-12-19,403,40000000.0,37134215.0,41294674.0,5.4,2012,95.0,"Comedy,Drama",5.8,33702,1294674.0,0.03236685,12,December,4
killing them softly,Wein.,22900000.0,2012,en,11.298,2012-11-30,1105,15000000.0,14945541.0,39238443.0,6.0,2012,97.0,"Crime,Thriller",6.2,124086,24238443.0,1.6158962,11,November,4
chernobyl diaries,WB,19000000.0,2012,en,14.658,2012-05-25,842,1000000.0,18119640.0,42411721.0,5.0,2012,86.0,"Horror,Mystery,Thriller",5.0,60304,41411721.0,41.411721,5,May,2
one for the money,LGF,10500000.0,2012,en,8.62,2012-01-27,615,42000000.0,26414527.0,36197221.0,5.5,2012,91.0,"Action,Comedy,Crime",5.3,38473,-5802779.0,-0.13816140476190475,1,January,1
dredd,LGF,22200000.0,2012,en,13.223,2012-09-21,2788,45000000.0,13414714.0,41467606.0,6.7,2012,95.0,"Action,Crime,Sci-Fi",7.1,234616,-3532394.0,-0.07849764444444444,9,September,3
arbitrage,RAtt.,27600000.0,2012,en,12.14,2012-09-14,459,12000000.0,7919574.0,35830713.0,6.2,2012,107.0,"Drama,Thriller",6.6,46774,23830713.0,1.98589275,9,September,3
alex cross,LG/S,8700000.0,2012,en,9.962,2012-10-18,424,35000000.0,25888412.0,35426759.0,5.1,2012,101.0,"Action,Crime,Mystery",5.1,30951,426759.0,0.012193114285714285,10,October,4
cirque du soleil worlds away,Par.,21600000.0,2012,en,6.538,2012-12-21,82,25000000.0,12512862.0,28012862.0,6.8,2012,91.0,Fantasy,6.8,7643,3012862.0,0.12051448,12,December,4
the perks of being a wallflower,LG/S,15600000.0,2012,en,15.148,2012-09-21,5938,13000000.0,17742948.0,33069303.0,7.8,2012,103.0,Drama,8.0,422671,20069303.0,1.5437925384615385,9,September,3
haywire,Rela.,14400000.0,2012,en,10.015,2011-11-06,747,23000000.0,18942396.0,36374700.0,5.6,2011,93.0,"Action,Drama,Thriller",5.8,78681,13374700.0,0.5815086956521739,11,November,4
katy perry part of me,Par.,7400000.0,2012,en,7.139,2012-07-05,147,12000000.0,25326071.0,32700439.0,6.8,2012,93.0,"Documentary,Music",5.9,13034,20700439.0,1.7250365833333334,7,July,3
lockout,FD,17900000.0,2012,en,11.273,2012-04-13,1004,20000000.0,14326865.0,33943049.0,5.9,2012,95.0,"Action,Sci-Fi,Thriller",6.1,89554,13943049.0,0.69715245,4,April,2
joyful noise,WB,226000.0,2012,en,6.787,2012-01-13,70,27500000.0,30932113.0,31157914.0,6.4,2012,118.0,"Comedy,Drama,Music",5.8,7575,3657914.0,0.13301505454545454,1,January,1
premium rush,Sony,10800000.0,2012,en,12.484,2012-08-24,1244,35000000.0,20275446.0,31393201.0,6.2,2012,91.0,"Action,Crime,Thriller",6.5,105279,-3606799.0,-0.1030514,8,August,3
the raven,Rela.,13600000.0,2012,en,0.6,2010-04-20,5,26000000.0,16008272.0,30601801.0,5.9,2012,110.0,"Crime,Mystery,Thriller",6.4,79578,4601801.0,0.17699234615384615,4,April,2
the master,Wein.,11900000.0,2012,en,12.829,2012-09-14,1323,37500000.0,16247159.0,50647416.0,7.1,2012,138.0,Drama,7.1,131365,13147416.0,0.35059776,9,September,3
the master,Wein.,11900000.0,2012,en,12.829,2012-09-14,1323,37500000.0,16247159.0,50647416.0,7.1,2014,86.0,"Action,History",4.8,54,13147416.0,0.35059776,9,September,3
big miracle,Uni.,4600000.0,2012,en,6.76,2012-02-03,250,40000000.0,20157300.0,25268680.0,6.6,2012,107.0,"Biography,Drama,Family",6.5,17585,-14731320.0,-0.368283,2,February,1
a thousand words,P/DW,3600000.0,2012,en,8.017,2012-03-08,685,40000000.0,18450127.0,20790486.0,6.1,2012,91.0,"Comedy,Drama",5.9,36387,-19209514.0,-0.48023785,3,March,1
wanderlust,Uni.,4200000.0,2012,en,9.896,2012-02-24,693,32500000.0,17288155.0,24159934.0,5.4,2012,98.0,"Comedy,Romance",5.6,69081,-8340066.0,-0.2566174153846154,2,February,1
beasts of the southern wild,FoxS,8300000.0,2012,en,7.53,2012-06-29,605,1800000.0,12795746.0,23265132.0,6.9,2012,93.0,"Adventure,Drama,Fantasy",7.3,77440,21465132.0,11.925073333333334,6,June,2
polisse,IFC,20200000.0,2012,fr,7.682,2011-11-11,670,8900000.0,176988.0,22744132.0,7.8,2011,127.0,"Crime,Drama",7.3,12506,13844132.0,1.5555204494382022,11,November,4
amour,SPC,13100000.0,2012,fr,10.705,2012-12-19,746,9700000.0,6738954.0,36787044.0,7.7,2012,127.0,"Drama,Romance",7.9,84960,27087044.0,2.792478762886598,12,December,4
the man with the iron fists,Uni.,4099999.0,2012,en,15.457,2012-11-02,573,15000000.0,15634090.0,22018988.0,5.3,2012,95.0,Action,5.4,58185,7018988.0,0.46793253333333334,11,November,4
