title,studio,foreign_gross,year,original_language,popularity,release_date,vote_count,movie,production_budget,domestic_gross,worldwide_gross,vote_average
snow white and the huntsman,Uni.,241300000.0,2012,en,21.233,2012-06-01,5258,snow white and the huntsman,170000000.0,155136755.0,401021746.0,5.9
taken 2,Fox,236300000.0,2012,en,16.078,2012-10-04,4035,taken 2,45000000.0,139854287.0,377807404.0,6.2
hotel transylvania,Sony,210100000.0,2012,en,15.318,2012-09-28,5013,hotel transylvania,85000000.0,148313048.0,378505812.0,6.9
journey 2 the mysterious island,WB (NL),231400000.0,2012,en,14.454,2012-02-10,2152,journey 2 the mysterious island,79000000.0,103860290.0,318146162.0,5.9
the expendables 2,LGF,229900000.0,2012,en,17.216,2012-08-17,4219,the expendables 2,100000000.0,85028192.0,311979256.0,6.2
rise of the guardians,P/DW,203500000.0,2012,en,14.934,2012-11-21,3697,rise of the guardians,145000000.0,103412758.0,306900902.0,7.3
wrath of the titans,WB,221600000.0,2012,en,14.991,2012-03-29,2442,wrath of the titans,150000000.0,83670083.0,305270083.0,5.6
battleship,Uni.,237600000.0,2012,en,21.742,2012-05-18,3240,battleship,220000000.0,65233400.0,313477717.0,5.6
john carter,BV,211100000.0,2012,en,18.549,2012-03-09,3338,john carter,275000000.0,73058679.0,282778100.0,6.1
the bourne legacy,Uni.,162900000.0,2012,en,18.05,2012-08-10,3630,the bourne legacy,125000000.0,113203870.0,280355920.0,6.1
lincoln,BV,93100000.0,2012,en,12.693,2012-11-16,2261,lincoln,65000000.0,182207973.0,273346281.0,6.8
dark shadows,WB,165800000.0,2012,en,15.75,2012-05-11,4197,dark shadows,150000000.0,79727149.0,238202668.0,5.9
resident evil retribution,SGem,197700000.0,2012,en,1.325,2012-09-14,2321,resident evil retribution,65000000.0,42345531.0,240647629.0,5.7
silver linings playbook,Wein.,104300000.0,2012,en,15.351,2012-12-25,7636,silver linings playbook,21000000.0,132092958.0,236412453.0,7.1
american reunion,Uni.,178000000.0,2012,en,17.199,2012-04-06,2679,american reunion,50000000.0,56758835.0,236799211.0,6.2
argo,WB,96300000.0,2012,en,15.793,2012-10-12,5127,argo,44500000.0,136025503.0,227140757.0,7.2
jack reacher,Par.,138300000.0,2012,en,18.312,2012-12-21,4155,jack reacher,60000000.0,80070736.0,217370736.0,6.4
safe house,Uni.,81700000.0,2012,en,13.116,2012-02-10,1997,safe house,85000000.0,126181630.0,208542162.0,6.4
21 jump street,Sony,63100000.0,2012,en,14.836,2012-03-12,6527,21 jump street,42000000.0,138447667.0,202812429.0,6.8
the vow,SGem,71100000.0,2012,en,13.046,2012-02-10,2409,the vow,30000000.0,125014030.0,197618160.0,7.1
mirror mirror,Rela.,118100000.0,2012,en,13.221,2012-03-30,2099,mirror mirror,85000000.0,64935167.0,173613482.0,5.8
the impossible,LG/S,161300000.0,2012,en,14.66,2012-12-04,3614,the impossible,40000000.0,19019882.0,169590606.0,7.2
the dictator,Par.,119700000.0,2012,en,12.592,2012-05-16,3042,the dictator,65000000.0,59650222.0,180148897.0,6.0
looper,TriS,110000000.0,2012,en,16.779,2012-09-28,6723,looper,30000000.0,66486205.0,170466405.0,6.8
magic mike,WB,53500000.0,2012,en,13.7,2012-06-29,1850,magic mike,7000000.0,113721571.0,170549753.0,6.1
flight,Par.,68000000.0,2012,en,11.692,2012-11-02,3582,flight,31000000.0,93772375.0,160558438.0,6.7
underworld awakening,SGem,97800000.0,2012,en,13.242,2012-01-19,2588,underworld awakening,70000000.0,62321039.0,160379930.0,6.2
this means war,Fox,101700000.0,2012,en,12.017,2012-02-17,2096,this means war,65000000.0,54760791.0,156974557.0,6.0
paranormal activity 4,Par.,88900000.0,2012,en,8.965,2012-10-19,1026,paranormal activity 4,5000000.0,53900335.0,142817992.0,5.4
step up revolution,LG/S,105400000.0,2012,en,10.925,2012-07-27,1252,step up revolution,33000000.0,35074677.0,165552290.0,6.8
the best exotic marigold hotel,FoxS,90400000.0,2012,en,8.665,2012-05-25,756,the best exotic marigold hotel,10000000.0,46383639.0,134639780.0,6.9
zero dark thirty,Sony,37100000.0,2012,en,14.239,2012-12-19,2553,zero dark thirty,52500000.0,95720716.0,134612435.0,6.9
ghost rider spirit of vengeance,Sony,80800000.0,2012,en,18.678,2011-12-10,2039,ghost rider spirit of vengeance,57000000.0,51774002.0,149217355.0,4.8
cloud atlas,WB,103400000.0,2012,en,14.681,2012-10-26,4505,cloud atlas,102000000.0,27108272.0,130673154.0,6.8
the woman in black,CBS,73400000.0,2012,en,12.781,2012-02-03,2122,the woman in black,15000000.0,54333290.0,128955898.0,6.1
parental guidance,Fox,42500000.0,2012,en,10.124,2012-12-25,276,parental guidance,25000000.0,77267296.0,120832383.0,5.8
abraham lincoln vampire hunter,Fox,79000000.0,2012,en,12.498,2012-06-22,2009,abraham lincoln vampire hunter,67500000.0,37519139.0,137489730.0,5.6
pitch perfect,Uni.,50300000.0,2012,en,13.886,2012-09-28,4233,pitch perfect,17000000.0,65001093.0,116044347.0,7.3
hope springs,Sony,50700000.0,2012,en,8.313,2012-08-07,429,hope springs,30000000.0,63536011.0,133085295.0,6.1
paranorman,Focus,51100000.0,2012,en,13.32,2012-08-17,1358,paranorman,60000000.0,56003051.0,108119662.0,6.8
the campaign,WB,18000000.0,2012,en,10.266,2012-08-10,982,the campaign,95000000.0,86907746.0,104907746.0,5.7
project x,WB,48000000.0,2012,en,9.715,2012-03-02,2968,project x,12000000.0,54731865.0,103028188.0,6.4
the devil inside,Par.,48500000.0,2012,en,7.403,2012-01-06,441,the devil inside,1000000.0,53262945.0,101759490.0,4.7
the lucky one,WB,38900000.0,2012,en,13.14,2012-04-20,2012,the lucky one,25000000.0,60457138.0,96633833.0,6.9
contraband,Uni.,29700000.0,2012,en,12.357,2012-01-13,1114,contraband,25000000.0,66528000.0,98406855.0,6.2
think like a man,SGem,4500000.0,2012,en,5.905,2012-04-20,438,think like a man,12000000.0,91547205.0,113373764.0,6.9
this is 40,Uni.,20500000.0,2012,en,8.132,2012-12-21,1296,this is 40,35000000.0,67544505.0,90221182.0,5.7
the possession,LGF,36300000.0,2012,en,8.978,2012-08-31,918,the possession,14000000.0,49130588.0,82925064.0,5.9
what to expect when youre expecting,LGF,43200000.0,2012,en,12.27,2012-05-18,1130,what to expect when youre expecting,37500000.0,41152203.0,88473016.0,5.9
frankenweenie,BV,46200000.0,2012,en,14.627,2012-10-05,1685,frankenweenie,39000000.0,35287788.0,81150788.0,6.8
act of valor,Rela.,11300000.0,2012,en,12.197,2012-02-24,583,act of valor,12000000.0,70012847.0,82497035.0,6.3
sinister,LG/S,29600000.0,2012,en,0.6,2011-05-03,8,sinister,3000000.0,48086903.0,87727807.0,3.8
the grey,ORF,25700000.0,2012,en,12.942,2012-01-27,2280,the grey,25000000.0,51580136.0,81249176.0,6.5
diary of a wimpy kid dog days,Fox,28100000.0,2012,en,11.36,2012-08-03,440,diary of a wimpy kid dog days,22000000.0,49008662.0,77229695.0,6.2
to rome with love,SPC,56600000.0,2012,en,9.563,2012-06-22,1097,to rome with love,21500000.0,16684352.0,74326015.0,5.7
here comes the boom,Sony,27800000.0,2012,en,10.265,2012-10-12,812,here comes the boom,42000000.0,45290318.0,73239258.0,6.0
anna karenina,Focus,56100000.0,2012,en,9.987,2012-11-16,1265,anna karenina,49000000.0,12816367.0,71004627.0,6.7
the watch,Fox,32900000.0,2012,en,10.228,2012-07-27,1356,the watch,55000000.0,34353000.0,67130045.0,5.4
moonrise kingdom,Focus,22800000.0,2012,en,14.086,2012-05-25,3023,moonrise kingdom,16000000.0,45512466.0,68848446.0,7.7
the cabin in the woods,LGF,24400000.0,2012,en,15.336,2012-04-12,4185,the cabin in the woods,30000000.0,42073277.0,70689968.0,6.5
rock of ages,WB (NL),20900000.0,2012,en,11.369,2012-06-15,686,rock of ages,70000000.0,38518613.0,61031932.0,6.1
thats my boy,Sony,20800000.0,2012,en,12.817,2012-06-15,831,thats my boy,57500000.0,36931089.0,58085235.0,5.5
the odd life of timothy green,BV,4200000.0,2012,en,9.216,2012-08-15,605,the odd life of timothy green,40000000.0,51853450.0,55249159.0,6.7
the three stooges,Fox,10500000.0,2012,en,9.358,2012-04-13,215,the three stooges,30000000.0,44338224.0,54052249.0,5.1
the fiveyear engagement,Uni.,25100000.0,2012,en,10.729,2012-04-27,742,the fiveyear engagement,30000000.0,28700285.0,61623819.0,5.8
lawless,Wein.,16300000.0,2012,en,12.147,2012-08-29,1660,lawless,26000000.0,37397291.0,54393687.0,7.0
silent hill revelation 3d,ORF,34800000.0,2012,en,13.681,2012-10-26,786,silent hill revelation 3d,20000000.0,17530219.0,55975672.0,5.2
red tails,Fox,489000.0,2012,en,10.247,2012-01-11,256,red tails,58000000.0,49876377.0,50365498.0,6.0
trouble with the curve,WB,13200000.0,2012,en,8.548,2012-09-21,613,trouble with the curve,60000000.0,35763137.0,47818913.0,6.7
end of watch,ORF,7100000.0,2012,en,13.152,2012-09-21,1770,end of watch,15000000.0,41003371.0,57586606.0,7.3
man on a ledge,LG/S,27600000.0,2012,en,11.263,2012-01-27,1460,man on a ledge,42000000.0,18620000.0,49621440.0,6.3
house at the end of the street,Rela.,12700000.0,2012,en,8.72,2012-09-21,1033,house at the end of the street,6900000.0,31611916.0,44103982.0,5.8
the guilt trip,Par.,4700000.0,2012,en,8.939,2012-12-19,403,the guilt trip,40000000.0,37134215.0,41294674.0,5.4
killing them softly,Wein.,22900000.0,2012,en,11.298,2012-11-30,1105,killing them softly,15000000.0,14945541.0,39238443.0,6.0
chernobyl diaries,WB,19000000.0,2012,en,14.658,2012-05-25,842,chernobyl diaries,1000000.0,18119640.0,42411721.0,5.0
one for the money,LGF,10500000.0,2012,en,8.62,2012-01-27,615,one for the money,42000000.0,26414527.0,36197221.0,5.5
dredd,LGF,22200000.0,2012,en,13.223,2012-09-21,2788,dredd,45000000.0,13414714.0,41467606.0,6.7
arbitrage,RAtt.,27600000.0,2012,en,12.14,2012-09-14,459,arbitrage,12000000.0,7919574.0,35830713.0,6.2
alex cross,LG/S,8700000.0,2012,en,9.962,2012-10-18,424,alex cross,35000000.0,25888412.0,35426759.0,5.1
cirque du soleil worlds away,Par.,21600000.0,2012,en,6.538,2012-12-21,82,cirque du soleil worlds away,25000000.0,12512862.0,28012862.0,6.8
the perks of being a wallflower,LG/S,15600000.0,2012,en,15.148,2012-09-21,5938,the perks of being a wallflower,13000000.0,17742948.0,33069303.0,7.8
haywire,Rela.,14400000.0,2012,en,10.015,2011-11-06,747,haywire,23000000.0,18942396.0,36374700.0,5.6
katy perry part of me,Par.,7400000.0,2012,en,7.139,2012-07-05,147,katy perry part of me,12000000.0,25326071.0,32700439.0,6.8
lockout,FD,17900000.0,2012,en,11.273,2012-04-13,1004,lockout,20000000.0,14326865.0,33943049.0,5.9
joyful noise,WB,226000.0,2012,en,6.787,2012-01-13,70,joyful noise,27500000.0,30932113.0,31157914.0,6.4
premium rush,Sony,10800000.0,2012,en,12.484,2012-08-24,1244,premium rush,35000000.0,20275446.0,31393201.0,6.2
the raven,Rela.,13600000.0,2012,en,0.6,2010-04-20,5,the raven,26000000.0,16008272.0,30601801.0,5.9
the master,Wein.,11900000.0,2012,en,12.829,2012-09-14,1323,the master,37500000.0,16247159.0,50647416.0,7.1
big miracle,Uni.,4600000.0,2012,en,6.76,2012-02-03,250,big miracle,40000000.0,20157300.0,25268680.0,6.6
a thousand words,P/DW,3600000.0,2012,en,8.017,2012-03-08,685,a thousand words,40000000.0,18450127.0,20790486.0,6.1
wanderlust,Uni.,4200000.0,2012,en,9.896,2012-02-24,693,wanderlust,32500000.0,17288155.0,24159934.0,5.4
beasts of the southern wild,FoxS,8300000.0,2012,en,7.53,2012-06-29,605,beasts of the southern wild,1800000.0,12795746.0,23265132.0,6.9
polisse,IFC,20200000.0,2012,fr,7.682,2011-11-11,670,polisse,8900000.0,176988.0,22744132.0,7.8
amour,SPC,13100000.0,2012,fr,10.705,2012-12-19,746,amour,9700000.0,6738954.0,36787044.0,7.7
the man with the iron fists,Uni.,4099999.0,2012,en,15.457,2012-11-02,573,the man with the iron fists,15000000.0,15634090.0,22018988.0,5.3
seven psychopaths,CBS,4400000.0,2012,en,10.967,2012-10-12,2109,seven psychopaths,13500000.0,15024049.0,33035736.0,6.8
the cold light of day,LG/S,13100000.0,2012,en,8.974,2012-09-06,463,the cold light of day,20000000.0,3763583.0,25361206.0,5.1
the words,CBS,1700000.0,2012,en,7.201,2012-09-07,628,the words,6000000.0,11494838.0,16369708.0,6.6
silent house,ORF,347000.0,2012,en,7.079,2011-01-21,184,silent house,2000000.0,12739737.0,16610760.0,5.2
bachelorette,RTWC,11500000.0,2012,en,7.05,2012-09-06,755,bachelorette,3000000.0,446770.0,12577401.0,5.4
fun size,Par.,2000000.0,2012,en,7.072,2012-10-26,249,fun size,14000000.0,9409538.0,11166615.0,5.5
seeking a friend for the end of the world,Focus,2600000.0,2012,en,8.092,2012-06-22,1108,seeking a friend for the end of the world,10000000.0,7078738.0,11766959.0,6.4
the apparition,WB,4700000.0,2012,en,7.714,2012-08-24,221,the apparition,17000000.0,4936819.0,10637281.0,4.3
the sessions,FoxS,3100000.0,2012,en,6.46,2012-10-18,296,the sessions,1000000.0,6002451.0,11495204.0,6.9
on the road,IFC,8000000.0,2012,en,8.919,2012-12-21,518,on the road,25000000.0,720828.0,9313302.0,5.6
casa de mi padre,LGF,2100000.0,2012,en,7.691,2012-03-16,154,casa de mi padre,6000000.0,5909483.0,8446952.0,5.2
chasing mavericks,Fox,600.0,2012,en,6.546,2012-10-26,329,chasing mavericks,20000000.0,6002756.0,8300821.0,7.0
albert nobbs,RAtt.,2600000.0,2012,en,6.277,2011-12-21,227,albert nobbs,7500000.0,3014696.0,8539003.0,6.3
jeff who lives at home,ParV,148000.0,2012,en,8.821,2011-09-13,320,jeff who lives at home,10000000.0,4269426.0,4708127.0,6.2
killer joe,LD,1700000.0,2012,en,13.742,2012-07-27,703,killer joe,10000000.0,1291645.0,4659110.0,6.5
the paperboy,MNE,661000.0,2012,en,8.143,2012-10-05,409,the paperboy,12500000.0,677200.0,4027663.0,5.5
a little bit of heaven,MNE,1300000.0,2012,en,7.87,2011-02-03,333,a little bit of heaven,12500000.0,10011.0,1100287.0,6.3
coriolanus,Wein.,315000.0,2012,en,8.016,2012-01-19,215,coriolanus,10000000.0,749641.0,2179623.0,6.0
kill list,IFC,143000.0,2012,en,7.036,2012-01-04,332,kill list,800000.0,29063.0,462206.0,6.1
frozen,BV,875700000.0,2013,en,9.678,2010-02-05,987,frozen,150000000.0,400738009.0,1272469910.0,5.8
iron man 3,BV,805800000.0,2013,en,32.093,2013-05-03,14155,iron man 3,200000000.0,408992272.0,1215392272.0,6.9
despicable me 2,Uni.,602700000.0,2013,en,19.014,2013-07-03,7319,despicable me 2,76000000.0,368065385.0,975216835.0,6.9
the hobbit the desolation of smaug,WB (NL),700000000.0,2013,en,21.275,2013-12-13,7739,the hobbit the desolation of smaug,250000000.0,258366855.0,960366855.0,7.6
the hunger games catching fire,LGF,440300000.0,2013,en,20.187,2013-11-22,11170,the hunger games catching fire,130000000.0,424668047.0,864868047.0,7.4
monsters university,BV,475700000.0,2013,en,20.33,2013-06-21,6362,monsters university,200000000.0,268488329.0,743588329.0,7.0
gravity,WB,449100000.0,2013,en,27.836,2013-10-04,9586,gravity,110000000.0,274092705.0,693698673.0,7.2
man of steel,WB,377000000.0,2013,en,27.667,2013-06-14,9758,man of steel,225000000.0,291045518.0,667999518.0,6.5
thor the dark world,BV,438200000.0,2013,en,31.014,2013-11-08,10171,thor the dark world,150000000.0,206362140.0,644602516.0,6.7
the croods,Fox,400000000.0,2013,en,16.29,2013-03-22,3873,the croods,135000000.0,187168425.0,573068425.0,6.8
world war z,Par.,337600000.0,2013,en,14.582,2013-06-21,9132,world war z,190000000.0,202359711.0,531514650.0,6.7
oz the great and powerful,BV,258399999.0,2013,en,13.377,2013-03-08,4829,oz the great and powerful,200000000.0,234770996.0,490359051.0,5.8
star trek into darkness,Par.,238600000.0,2013,en,20.487,2013-05-16,6182,star trek into darkness,190000000.0,228778661.0,467381584.0,7.4
the wolverine,Fox,282300000.0,2013,en,4.323,2013-07-25,6176,the wolverine,115000000.0,132556852.0,416456852.0,6.3
pacific rim,WB,309200000.0,2013,en,16.759,2013-07-12,7632,pacific rim,190000000.0,101802906.0,411002906.0,6.8
the wolf of wall street,Par.,275100000.0,2013,en,29.518,2013-12-25,12411,the wolf of wall street,100000000.0,116900694.0,389870414.0,7.9
gi joe retaliation,Par.,253200000.0,2013,en,15.065,2013-03-29,3883,gi joe retaliation,140000000.0,122523060.0,375740705.0,5.5
now you see me,LG/S,234000000.0,2013,en,16.646,2013-05-31,9871,now you see me,75000000.0,117723989.0,342769200.0,7.4
the smurfs 2,Sony,276500000.0,2013,en,12.941,2013-07-31,1200,the smurfs 2,110000000.0,71017784.0,348547523.0,5.7
the conjuring,WB (NL),182100000.0,2013,en,18.886,2013-07-19,5912,the conjuring,20000000.0,137400141.0,318000141.0,7.5
a good day to die hard,Fox,237300000.0,2013,en,15.858,2013-02-14,4437,a good day to die hard,92000000.0,67349198.0,304249198.0,5.2
oblivion,Uni.,197100000.0,2013,en,18.534,2013-04-18,6850,oblivion,120000000.0,89107235.0,287916633.0,6.5
elysium,TriS,193100000.0,2013,en,17.663,2013-08-09,5406,elysium,120000000.0,93050117.0,286192091.0,6.4
turbo,Fox,199500000.0,2013,en,14.876,2013-07-19,1758,turbo,135000000.0,83028130.0,286896578.0,6.1
cloudy with a chance of meatballs 2,Sony,154500000.0,2013,en,18.335,2013-09-27,1679,cloudy with a chance of meatballs 2,78000000.0,119793567.0,274392649.0,6.4
were the millers,WB (NL),119600000.0,2013,en,14.746,2013-08-07,5231,were the millers,37000000.0,150394119.0,267816276.0,6.8
epic,Fox,160900000.0,2013,en,13.995,2013-05-24,1670,epic,100000000.0,107518682.0,262794441.0,6.4
the lone ranger,BV,171200000.0,2013,en,12.482,2013-07-03,3789,the lone ranger,275000000.0,89302115.0,260002115.0,6.0
american hustle,Sony,101100000.0,2013,en,12.481,2013-12-12,4443,american hustle,40000000.0,150117807.0,257878294.0,6.8
grown ups 2,Sony,113300000.0,2013,en,11.289,2013-07-12,2090,grown ups 2,80000000.0,133668525.0,247023808.0,5.9
after earth,Sony,183300000.0,2013,en,14.415,2013-05-31,4154,after earth,130000000.0,60522097.0,251499665.0,5.1
the heat,Fox,70300000.0,2013,en,16.912,2013-06-28,2441,the heat,43000000.0,159581587.0,229727774.0,6.6
captain phillips,Sony,111700000.0,2013,en,15.483,2013-10-11,3909,captain phillips,55000000.0,107136417.0,220648184.0,7.6
white house down,Sony,132300000.0,2013,en,13.026,2013-06-28,2817,white house down,150000000.0,73103784.0,205440387.0,6.4
percy jackson sea of monsters,Fox,131300000.0,2013,en,15.762,2013-08-07,3109,percy jackson sea of monsters,90000000.0,68559554.0,200859554.0,5.9
jack the giant slayer,WB (NL),132500000.0,2013,en,12.773,2013-03-01,3403,jack the giant slayer,195000000.0,65187603.0,197687603.0,5.6
the secret life of walter mitty,Fox,129900000.0,2013,en,10.743,2013-12-25,4859,the secret life of walter mitty,91000000.0,58236838.0,187861183.0,7.1
12 years a slave,FoxS,131100000.0,2013,en,16.493,2013-10-30,6631,12 years a slave,20000000.0,56671993.0,181025343.0,7.9
identity thief,Uni.,39500000.0,2013,en,13.553,2013-02-09,2230,identity thief,35000000.0,134506920.0,175361578.0,5.8
anchorman 2 the legend continues,Par.,46300000.0,2013,en,12.08,2013-12-18,1408,anchorman 2 the legend continues,50000000.0,127352707.0,172185754.0,6.1
olympus has fallen,FD,71300000.0,2013,en,13.864,2013-03-22,4086,olympus has fallen,70000000.0,98927592.0,172878928.0,6.2
insidious chapter 2,FD,78300000.0,2013,en,14.283,2013-09-13,2279,insidious chapter 2,5000000.0,83586447.0,161921515.0,6.6
lone survivor,Uni.,29700000.0,2013,en,15.404,2013-12-24,2289,lone survivor,40000000.0,125095601.0,149804632.0,7.4
jackass presents bad grandpa,Par.,49800000.0,2013,en,8.823,2013-10-25,928,jackass presents bad grandpa,15000000.0,102003019.0,160903019.0,6.0
47 ronin,Uni.,113400000.0,2013,en,25.049,2013-12-25,2080,47 ronin,175000000.0,38362475.0,151716815.0,6.0
red 2,LG/S,94800000.0,2013,en,14.994,2013-07-19,2368,red 2,84000000.0,53262560.0,141507355.0,6.5
mama,Uni.,74800000.0,2013,en,11.983,2013-01-18,2421,mama,15000000.0,71628180.0,148095566.0,6.1
escape plan,LG/S,112200000.0,2013,en,17.88,2013-10-18,2799,escape plan,70000000.0,25135965.0,103735965.0,6.7
last vegas,CBS,70500000.0,2013,en,6.533,2013-11-01,1211,last vegas,28000000.0,63914167.0,112914167.0,6.4
2 guns,Uni.,56300000.0,2013,en,14.8,2013-08-02,2368,2 guns,61000000.0,75612460.0,132493015.0,6.5
walking with dinosaurs,Fox,90500000.0,2013,en,10.56,2013-12-20,210,walking with dinosaurs,80000000.0,36076121.0,123368842.0,5.4
this is the end,Sony,24600000.0,2013,en,10.635,2013-06-12,3789,this is the end,32000000.0,101470202.0,126539117.0,6.2
enders game,LG/S,63800000.0,2013,en,15.533,2013-11-01,3558,enders game,110000000.0,61737191.0,127983283.0,6.6
prisoners,WB,61100000.0,2013,en,14.358,2013-09-21,5785,prisoners,46000000.0,61002302.0,113402302.0,8.0
saving mr banks,BV,34600000.0,2013,en,9.585,2013-12-20,2050,saving mr banks,35000000.0,83299761.0,114962525.0,7.4
warm bodies,LG/S,50600000.0,2013,en,13.259,2013-02-01,4109,warm bodies,30000000.0,66380662.0,115121608.0,6.3
free birds,Rela.,54600000.0,2013,en,11.062,2013-11-01,410,free birds,55000000.0,55750480.0,110387072.0,5.8
gangster squad,WB,59200000.0,2013,en,13.029,2013-01-11,2527,gangster squad,60000000.0,46000903.0,104100903.0,6.3
philomena,Wein.,62400000.0,2013,en,8.978,2013-11-27,945,philomena,12000000.0,37709979.0,98963392.0,7.4
riddick,Uni.,56300000.0,2013,en,17.434,2013-09-06,2852,riddick,38000000.0,42025135.0,94763758.0,6.2
safe haven,Rela.,26200000.0,2013,en,9.095,2013-02-14,1433,safe haven,28000000.0,71399120.0,94050951.0,7.1
blue jasmine,SPC,64099999.0,2013,en,10.443,2013-07-26,1983,blue jasmine,18000000.0,33404871.0,102912961.0,7.0
the mortal instruments city of bones,SGem,64200000.0,2013,en,16.484,2013-08-21,2915,the mortal instruments city of bones,60000000.0,31165421.0,75965567.0,6.3
the internship,Fox,48800000.0,2013,en,0.6,2013-06-07,2631,the internship,58000000.0,44672764.0,93672764.0,6.2
the purge,Uni.,24900000.0,2013,en,24.364,2013-06-06,4797,the purge,3000000.0,64473115.0,91266581.0,6.2
dhoom 3,Yash,80000000.0,2013,hi,6.798,2013-12-20,136,dhoom 3,24000000.0,8031955.0,11723620.0,5.9
about time,Uni.,71800000.0,2013,en,14.133,2013-11-08,3981,about time,12000000.0,15323921.0,89309178.0,7.9
ripd,Uni.,44700000.0,2013,en,21.377,2013-07-19,2047,ripd,130000000.0,33618855.0,79076678.0,5.6
the book thief,Fox,55100000.0,2013,en,9.034,2013-11-08,2788,the book thief,19000000.0,21488481.0,76086711.0,7.5
escape from planet earth,Wein.,17600000.0,2013,en,9.227,2013-02-14,459,escape from planet earth,40000000.0,57012977.0,74156610.0,5.8
august osage county,Wein.,36500000.0,2013,en,9.586,2013-12-27,843,august osage county,25000000.0,37738810.0,50738810.0,6.9
the best man holiday,Uni.,2300000.0,2013,en,8.581,2013-11-15,145,the best man holiday,17000000.0,70525195.0,72835710.0,6.6
the counselor,Fox,54000000.0,2013,en,10.55,2013-10-25,1072,the counselor,25000000.0,16973715.0,71009334.0,5.1
the call,TriS,16700000.0,2013,en,11.315,2013-03-14,1779,the call,12800000.0,51872378.0,69821476.0,6.7
one direction this is us,TriS,39700000.0,2013,en,9.005,2013-08-30,370,one direction this is us,10000000.0,28873374.0,68541786.0,8.1
runner runner,Fox,43400000.0,2013,en,10.442,2013-10-02,761,runner runner,30000000.0,19316646.0,60512680.0,5.6
kickass 2,Uni.,32000000.0,2013,en,14.793,2013-08-16,3785,kickass 2,28000000.0,28795985.0,63129909.0,6.4
a haunted house,ORF,20100000.0,2013,en,6.909,2013-01-11,871,a haunted house,2500000.0,40041683.0,59922558.0,5.5
quartet,Wein.,41100000.0,2013,en,8.32,2013-01-10,209,quartet,11000000.0,18388357.0,56178935.0,6.6
dallas buyers club,Focus,27900000.0,2013,en,12.389,2013-11-22,4961,dallas buyers club,5000000.0,27298285.0,60611845.0,7.9
delivery man,BV,19300000.0,2013,en,7.962,2013-11-22,858,delivery man,22000000.0,30659817.0,70536870.0,6.2
the last stand,LGF,36300000.0,2013,en,15.894,2013-01-12,1692,the last stand,30000000.0,12050299.0,48330757.0,5.9
texas chainsaw 3d,LGF,12900000.0,2013,en,18.256,2013-01-04,780,texas chainsaw 3d,20000000.0,34341945.0,47666013.0,5.3
the big wedding,LGF,24700000.0,2013,en,11.231,2013-04-25,678,the big wedding,32500000.0,21819348.0,48425971.0,5.8
parker,FD,28600000.0,2013,en,14.95,2013-01-25,1868,parker,35000000.0,17616641.0,48543388.0,5.8
the worlds end,Focus,20100000.0,2013,en,12.719,2013-08-23,2990,the worlds end,20000000.0,26004851.0,47508505.0,6.7
grudge match,WB,15100000.0,2013,en,7.918,2013-12-25,711,grudge match,40000000.0,29807260.0,69807260.0,6.0
homefront,ORF,22900000.0,2013,en,14.422,2013-11-27,1410,homefront,22000000.0,20158492.0,51695362.0,6.5
jobs,ORF,19800000.0,2013,en,8.023,2013-08-16,1622,jobs,18000000.0,16131410.0,43402515.0,6.1
the place beyond the pines,Focus,14100000.0,2013,en,12.96,2013-03-27,2781,the place beyond the pines,15000000.0,21403519.0,47011449.0,6.9
inside llewyn davis,CBS,19700000.0,2013,en,10.549,2013-12-06,1400,inside llewyn davis,11000000.0,13248209.0,32943247.0,7.2
mud,RAtt.,11000000.0,2013,en,12.507,2013-05-10,1592,mud,10000000.0,21590086.0,31556959.0,7.0
movie 43,Rela.,23600000.0,2013,en,12.813,2013-01-25,1332,movie 43,10000000.0,8840453.0,31164747.0,4.4
kevin hart let me explain,LG/S,74000.0,2013,en,8.476,2013-07-03,142,kevin hart let me explain,2500000.0,32244051.0,32327255.0,6.9
spring breakers,A24,17600000.0,2013,en,10.691,2013-03-15,2495,spring breakers,5000000.0,14124286.0,31149251.0,5.0
don jon,Rela.,6000000.0,2013,en,12.78,2013-09-27,2709,don jon,5500000.0,24477704.0,41268579.0,5.9
nebraska,Par.,10000000.0,2013,en,9.521,2013-11-15,967,nebraska,12000000.0,17654912.0,24761360.0,7.4
the incredible burt wonderstone,WB (NL),4900000.0,2013,en,9.362,2013-03-15,920,the incredible burt wonderstone,32000000.0,22537881.0,27392609.0,5.4
mandela long walk to freedom,Wein.,19000000.0,2013,en,8.262,2013-12-25,319,mandela long walk to freedom,35000000.0,8323085.0,29890402.0,6.9
khumba,MNE,27200000.0,2013,en,9.597,2013-12-07,129,khumba,15000000.0,0.0,20898221.0,5.6
dark skies,W/Dim.,9000000.0,2013,en,11.582,2013-02-22,1004,dark skies,3500000.0,17418667.0,27704111.0,6.1
enough said,FoxS,7700000.0,2013,en,8.722,2013-09-18,464,enough said,8000000.0,17550872.0,25621449.0,6.7
trance,FoxS,21900000.0,2013,en,9.571,2013-04-05,1348,trance,16000000.0,2322593.0,22594052.0,6.6
the way way back,FoxS,1700000.0,2013,en,9.977,2013-07-05,1043,the way way back,5000000.0,21502690.0,26853810.0,7.1
baggage claim,FoxS,887000.0,2013,en,8.666,2013-09-27,127,baggage claim,8500000.0,21569509.0,22885836.0,5.4
