title,studio,domestic_gross,foreign_gross,year
furry vengeance,Sum.,17600000.0,18600000.0,2010
faster,CBS,23200000.0,12400000.0,2010
the kids are all right,Focus,20800000.0,13900000.0,2010
you will meet a tall dark stranger,SPC,3200000.0,31000000.0,2010
the secret in their eyes,SPC,6400000.0,27600000.0,2010
avatar special edition,Fox,10700000.0,22500000.0,2010
leap year,Uni.,25900000.0,6700000.0,2010
you again,BV,25700000.0,6300000.0,2010
mesrine killer instinct,MBox,552000.0,30500000.0,2010
the losers,WB,23600000.0,5800000.0,2010
case 39,ParV,13300000.0,14900000.0,2010
ramona and beezus,Fox,26200000.0,1100000.0,2010
splice,WB,17000000.0,9800000.0,2010
fair game 2010,Sum.,9500000.0,14600000.0,2010
let me in,Over.,12100000.0,12000000.0,2010
maos last dancer,Gold.,4800000.0,17500000.0,2010
just wright,FoxS,21500000.0,29900.0,2010
our family wedding,FoxS,20300000.0,1200000.0,2010
my soul to take,Uni.,14700000.0,6200000.0,2010
71 into the fire,JS,177000.0,20800000.0,2010
i love you phillip morris,RAtt.,2000000.0,18700000.0,2010
country strong,SGem,20200000.0,310000.0,2010
another year,SPC,3200000.0,16500000.0,2010
youth in revolt,W/Dim.,15300000.0,4400000.0,2010
buried,LGF,1000000.0,18100000.0,2010
rec 2,Magn.,27800.0,18500000.0,2010
repo men,Uni.,13800000.0,4600000.0,2010
a prophet un prophète,SPC,2100000.0,15800000.0,2010
soul kitchen,IFC,277000.0,17600000.0,2010
mother 2010,Magn.,552000.0,16600000.0,2010
micmacs,SPC,1300000.0,15100000.0,2010
the nutcracker in 3d,Free,195000.0,16000000.0,2010
sea rex 3d journey to a prehistoric world,3D,6100000.0,9900000.0,2010
i hate luv storys,UTV,848000.0,14900000.0,2010
extraordinary measures,CBS,12100000.0,3100000.0,2010
somewhere,Focus,1800000.0,12200000.0,2010
winters bone,RAtt.,6500000.0,7300000.0,2010
the last station,SPC,6600000.0,6900000.0,2010
raajneeti,UTV,1500000.0,11100000.0,2010
made in dagenham,SPC,1100000.0,11300000.0,2010
blue valentine,Wein.,9700000.0,2600000.0,2010
tamara drewe,SPC,560000.0,11400000.0,2010
chloe,SPC,3100000.0,8600000.0,2010
looking for eric,IFC,55800.0,11500000.0,2010
the warriors way,Rela.,5700000.0,5400000.0,2010
i am love,Magn.,5000000.0,5900000.0,2010
jonah hex,WB,10500000.0,356000.0,2010
harry brown,Gold.,1800000.0,8500000.0,2010
cyrus,FoxS,7500000.0,2500000.0,2010
conviction,FoxS,6800000.0,2900000.0,2010
get low,SPC,9200000.0,518000.0,2010
babies,Focus,7300000.0,2200000.0,2010
stone,Over.,1800000.0,7700000.0,2010
peepli live,UTV,758000.0,8700000.0,2010
never let me go,FoxS,2400000.0,7000000.0,2010
midaugust lunch,Zeit.,675000.0,8700000.0,2010
macgruber,Uni.,8500000.0,797000.0,2010
city island,Anch.,6700000.0,1200000.0,2010
inside job,SPC,4300000.0,3600000.0,2010
the joneses,RAtt.,1500000.0,5500000.0,2010
centurion,Magn.,124000.0,6700000.0,2010
animal kingdom,SPC,1000000.0,5700000.0,2010
nowhere boy,Wein.,1500000.0,5100000.0,2010
its kind of a funny story,Focus,6400000.0,128000.0,2010
waiting for superman,ParV,6400000.0,9300.0,2010
greenberg,Focus,4200000.0,1900000.0,2010
coco chanel igor stravinsky,SPC,1600000.0,4099999.0,2010
vincere,IFC,619000.0,5100000.0,2010
the illusionist 2010,SPC,2200000.0,3400000.0,2010
exit through the gift shop,PDA,3300000.0,2000000.0,2010
mademoiselle chambon,Lorb.,532000.0,4700000.0,2010
solitary man,Anch.,4400000.0,818000.0,2010
rabbit hole,LGF,2200000.0,2900000.0,2010
vision,Zeit.,435000.0,4600000.0,2010
mother and child,SPC,1100000.0,3900000.0,2010
the runaways,App.,3600000.0,1100000.0,2010
four lions,Drft.,305000.0,4400000.0,2010
wild grass,SPC,404000.0,4200000.0,2010
please give,SPC,4000000.0,280000.0,2010
monsters,Magn.,237000.0,4000000.0,2010
rare exports a christmas tale,Osci.,236000.0,3800000.0,2010
the killer inside me,IFC,217000.0,3800000.0,2010
the perfect game,IW,1000000.0,2800000.0,2010
to save a life,Gold.,3800000.0,45800.0,2010
inspector bellamy,IFC,108000.0,3600000.0,2010
catfish,Rog.,3200000.0,242000.0,2010
wild target,Free,109000.0,3300000.0,2010
frozen 2010,Anch.,246000.0,2900000.0,2010
dabangg,Eros,1300000.0,1700000.0,2010
kites,Relbig.,1600000.0,1300000.0,2010
letters to god,Viv.,2800000.0,60300.0,2010
twelve,Hann.,184000.0,2400000.0,2010
tees maar khan,UTV,1100000.0,1400000.0,2010
fish tank,IFC,375000.0,2000000.0,2010
housefull,Eros,1200000.0,1200000.0,2010
golmaal 3,Eros,1100000.0,935000.0,2010
afterlife,Anch.,109000.0,1900000.0,2010
cairo time,IFC,1600000.0,391000.0,2010
guzaarish,UTV,1000000.0,695000.0,2010
ondine,Magn.,550000.0,1100000.0,2010
anjaana anjaani,Eros,855000.0,761000.0,2010
john rabe,Strand,67500.0,1400000.0,2010
restrepo,NGE,1300000.0,105000.0,2010
raavan,Relbig.,709000.0,648000.0,2010
the city of your final destination,Scre.,493000.0,859000.0,2010
ajami,Kino,622000.0,669000.0,2010
army of crime,Lorb.,37000.0,1200000.0,2010
lebanon,SPC,368000.0,830000.0,2010
howl,Osci.,617000.0,566000.0,2010
videocracy,Kino,23700.0,1200000.0,2010
when youre strange,Abr.,246000.0,901000.0,2010
the salvation poem poema de salvacion,CZ,915000.0,183000.0,2010
casino jack,ATO,1000000.0,40700.0,2010
leaving,IFC,176000.0,893000.0,2010
khatta meetha,Eros,542000.0,499000.0,2010
we are family,UTV,638000.0,393000.0,2010
leaves of grass,First,70100.0,949000.0,2010
north face,MBox,711000.0,216000.0,2010
creation,NM,341000.0,555000.0,2010
no one knows about persian cats,IFC,81800.0,798000.0,2010
carlos,IFC,146000.0,726000.0,2010
hideaway le refuge,Strand,34500.0,837000.0,2010
the disappearance of alice creed,Anch.,167000.0,701000.0,2010
break ke baad,Relbig.,428000.0,389000.0,2010
veer 2010,Eros,527000.0,277000.0,2010
life during wartime,IFC,281000.0,487000.0,2010
enter the void,IFC,336000.0,418000.0,2010
the secret of kells,GK,677000.0,62700.0,2010
no problem,Eros,285000.0,369000.0,2010
all good things,Magn.,582000.0,62500.0,2010
jack goes boating,Over.,542000.0,77600.0,2010
holy rollers,FInd.,303000.0,305000.0,2010
chain letter,NFC,139000.0,447000.0,2010
i spit on your grave,Anch.,93100.0,480000.0,2010
im still here,Magn.,409000.0,160000.0,2010
salt of this sea,Lorb.,11700.0,545000.0,2010
undertow 2010,TFC,109000.0,393000.0,2010
father of my children,IFC,144000.0,335000.0,2010
the greatest 2010,Pala.,115000.0,359000.0,2010
the extra man,Magn.,453000.0,4500.0,2010
dogtooth,Kino,110000.0,274000.0,2010
the tempest,Mira.,278000.0,68700.0,2010
the good heart,Magn.,20900.0,323000.0,2010
formosa betrayed,Scre.,225000.0,101000.0,2010
red hill,Strand,21100.0,300000.0,2010
welcome to the rileys,Gold.,159000.0,158000.0,2010
a woman a gun and a noodle shop,SPC,191000.0,121000.0,2010
the girl on the train,Strand,208000.0,97100.0,2010
mesrine public enemy no 1,MBox,275000.0,28100.0,2010
44 inch chest,Imag.,39000.0,255000.0,2010
karthik calling karthik,Eros,286000.0,7100.0,2010
eyes wide open,NAV,26300.0,250000.0,2010
waste land,Arth.,188000.0,88700.0,2010
south of the border,CLS,199000.0,70800.0,2010
human centipede,IFC,181000.0,70700.0,2010
lovely still,Mont.,128000.0,106000.0,2010
the girl flickan,Olive,2200.0,229000.0,2010
bitch slap,Free,17400.0,182000.0,2010
chance pe dance,UTV,169000.0,24300.0,2010
client 9 the rise and fall of eliot spitzer,Magn.,189000.0,3500.0,2010
perriers bounty,IFC,800.0,167000.0,2010
around a small mountain,CGld,33200.0,131000.0,2010
spring fever,Strand,10800.0,150000.0,2010
the eclipse,Magn.,133000.0,26400.0,2010
george a romeros survival of the dead,Magn.,102000.0,41500.0,2010
the romantics,FOAK,107000.0,17300.0,2010
freakonomics,Magn.,101000.0,16400.0,2010
saint john of las vegas,IVP,103000.0,9100.0,2010
band baaja baaraat,Yash,43800.0,60700.0,2010
kisses,Osci.,81700.0,15300.0,2010
waking sleeping beauty,BV,80700.0,4200.0,2010
enemies of the people,ICir,73200.0,6400.0,2010
hadewijch,IFC,5000.0,57500.0,2010
as good as dead,First,2000.0,53600.0,2010
inhale,IFC,4100.0,51000.0,2010
district b13 ultimatum,Magn.,36100.0,16200.0,2010
gasland,WOW,30800.0,18600.0,2010
boogie woogie,IFC,2600.0,44900.0,2010
come undone 2010,FM,10000.0,31300.0,2010
the red baron,Mont.,37200.0,3100.0,2010
bluebeard,Strand,33500.0,5200.0,2010
daddy longlegs,IFC,21800.0,11500.0,2010
nenette,Kino,18000.0,5400.0,2010
picture me,Strand,12000.0,10400.0,2010
the thorn in the heart,Osci.,7400.0,10500.0,2010
harry potter and the deathly hallows part 2,WB,381000000.0,960500000.0,2011
transformers dark of the moon,P/DW,352400000.0,771400000.0,2011
pirates of the caribbean on stranger tides,BV,241100000.0,804600000.0,2011
the twilight saga breaking dawn part 1,Sum.,281300000.0,430900000.0,2011
mission impossible ghost protocol,Par.,209400000.0,485300000.0,2011
kung fu panda 2,P/DW,165200000.0,500400000.0,2011
fast five,Uni.,209800000.0,416300000.0,2011
the hangover part ii,WB,254500000.0,332300000.0,2011
the smurfs,Sony,142600000.0,421100000.0,2011
cars 2,BV,191500000.0,370700000.0,2011
puss in boots,P/DW,149300000.0,405700000.0,2011
sherlock holmes a game of shadows,WB,186800000.0,358600000.0,2011
rio,Fox,143600000.0,341000000.0,2011
rise of the planet of the apes,Fox,176800000.0,305000000.0,2011
thor,Par.,181000000.0,268300000.0,2011
the adventures of tintin,Par.,77600000.0,296400000.0,2011
captain america the first avenger,Par.,176700000.0,193900000.0,2011
xmen first class,Fox,146400000.0,207200000.0,2011
alvin and the chipmunks chipwrecked,Fox,133100000.0,209600000.0,2011
real steel,BV,85500000.0,213800000.0,2011
bridesmaids,Uni.,169100000.0,119300000.0,2011
super 8,Par.,127000000.0,133100000.0,2011
rango,Par.,123500000.0,122200000.0,2011
the girl with the dragon tattoo 2011,Sony,102500000.0,130100000.0,2011
the green hornet,Sony,98800000.0,129000000.0,2011
immortals,Rela.,83500000.0,143400000.0,2011
green lantern,WB,116600000.0,103300000.0,2011
the help,BV,169700000.0,46900000.0,2011
bad teacher,Sony,100300000.0,115900000.0,2011
just go with it,Sony,103000000.0,111900000.0,2011
battle los angeles,Sony,83600000.0,128300000.0,2011
horrible bosses,WB (NL),117500000.0,92100000.0,2011
paranormal activity 3,Par.,104000000.0,103000000.0,2011
gnomeo and juliet,BV,100000000.0,94000000.0,2011
mr poppers penguins,Fox,68200000.0,119100000.0,2011
hugo,Par.,73900000.0,111900000.0,2011
the lion king in 3d,BV,94200000.0,91300000.0,2011
hop,Uni.,108100000.0,75900000.0,2011
war horse,BV,79900000.0,97700000.0,2011
the descendants,FoxS,82600000.0,94700000.0,2011
cowboys aliens,Uni.,100200000.0,74600000.0,2011
in time,Fox,37500000.0,136400000.0,2011
zookeeper,Sony,80400000.0,89500000.0,2011
the muppets,BV,88600000.0,76600000.0,2011
limitless,Rela.,79200000.0,82600000.0,2011
johnny english reborn,Uni.,8300000.0,151800000.0,2011
final destination 5,WB (NL),42600000.0,115300000.0,2011
tower heist,Uni.,78000000.0,74900000.0,2011
midnight in paris,SPC,56800000.0,94300000.0,2011
happy feet two,WB,64000000.0,86400000.0,2011
i am number four,BV,55100000.0,94800000.0,2011
jack and jill,Sony,74200000.0,75500000.0,2011
friends with benefits,SGem,55800000.0,93700000.0,2011
no strings attached,Par.,70700000.0,78600000.0,2011
arthur christmas,Sony,46500000.0,101000000.0,2011
source code,Sum.,54700000.0,92600000.0,2011
crazy stupid love,WB,84400000.0,58500000.0,2011
new years eve,WB (NL),54500000.0,87500000.0,2011
contagion,WB,75700000.0,59800000.0,2011
the artist,Wein.,44700000.0,88800000.0,2011
the three musketeers 2011,Sum.,20400000.0,111900000.0,2011
unknown,WB,63700000.0,67099999.0,2011
the adjustment bureau,Uni.,62500000.0,65400000.0,2011
we bought a zoo,Fox,75600000.0,44500000.0,2011
water for elephants,Fox,58700000.0,58400000.0,2011
the iron lady,Wein.,30000000.0,84900000.0,2011
moneyball,Sony,75600000.0,34600000.0,2011
sanctum,Uni.,23200000.0,85400000.0,2011
justin bieber never say never,Par.,73000000.0,26000000.0,2011
paul,Uni.,37400000.0,60600000.0,2011
scream 4,W/Dim.,38200000.0,59000000.0,2011
insidious,FD,54000000.0,43000000.0,2011
the rite,WB (NL),33000000.0,63000000.0,2011
dolphin tale,WB,72300000.0,23100000.0,2011
season of the witch,Rela.,24800000.0,66800000.0,2011
sucker punch,WB,36400000.0,53400000.0,2011
red riding hood,WB,37700000.0,51500000.0,2011
spy kids all the time in the world,W/Dim.,38500000.0,47000000.0,2011
j edgar,WB,37300000.0,47600000.0,2011
hall pass,WB (NL),45100000.0,38100000.0,2011
big mommas like father like son,Fox,37900000.0,44800000.0,2011
abduction,LGF,28100000.0,54000000.0,2011
tinker tailor soldier spy,Focus,24100000.0,56500000.0,2011
priest,SGem,29100000.0,49200000.0,2011
drive 2011,FD,35100000.0,41100000.0,2011
the mechanic,CBS,29100000.0,47000000.0,2011
the ides of march,Sony,41000000.0,35000000.0,2011
the changeup,Uni.,37100000.0,38400000.0,2011
the lincoln lawyer,LGF,58000000.0,17000000.0,2011
diary of a wimpy kid rodrick rules,Fox,52700000.0,19700000.0,2011
larry crowne,Uni.,35600000.0,36400000.0,2011
the dilemma,Uni.,48500000.0,21200000.0,2011
the darkest hour,Sum.,21400000.0,43200000.0,2011
hanna,Focus,40300000.0,23500000.0,2011
footloose 2011,Par.,51800000.0,11700000.0,2011
elite squad the enemy within,Vari.,100000.0,62900000.0,2011
colombiana,TriS,36700000.0,24300000.0,2011
something borrowed,WB,39000000.0,21100000.0,2011
one day,Focus,13800000.0,45500000.0,2011
beginning of the great revival,CL,151000.0,58200000.0,2011
killer elite,ORF,25100000.0,31300000.0,2011
extremely loud incredibly close,WB,31800000.0,23400000.0,2011
the tree of life,FoxS,13300000.0,41000000.0,2011
tyler perrys madeas big happy family,LGF,53300000.0,816000.0,2011
detective dee and the mystery of the phantom flame,IM,460000.0,51300000.0,2011
winnie the pooh,BV,26700000.0,23200000.0,2011
conan the barbarian 2011,LGF,21300000.0,27500000.0,2011
soul surfer,TriS,43900000.0,3200000.0,2011
war of the arrows,CJ,251000.0,45800000.0,2011
arthur 2011,WB,33000000.0,12700000.0,2011
the debt,Focus,31200000.0,14500000.0,2011
beastly,CBS,27900000.0,15300000.0,2011
of gods and men,SPC,4000000.0,38200000.0,2011
born to be wild imax,WB,25900000.0,15600000.0,2011
evangelion 20 you can not advance,Elev.,134000.0,41000000.0,2011
fright night 2011,BV,18300000.0,22700000.0,2011
30 minutes or less,Sony,37100000.0,3500000.0,2011
the roommate,SGem,37300000.0,3200000.0,2011
shark night 3d,Rela.,18900000.0,21300000.0,2011
monte carlo,Fox,23200000.0,16500000.0,2011
5050,Sum.,35000000.0,4200000.0,2011
mars needs moms,BV,21400000.0,17600000.0,2011
dream house,Uni.,21300000.0,17200000.0,2011
jumping the broom,TriS,37300000.0,415000.0,2011
dont be afraid of the dark,FD,24000000.0,12900000.0,2011
ra one,Eros,2500000.0,33400000.0,2011
a very harold kumar 3d christmas,WB,35100000.0,326000.0,2011
my week with marilyn,Wein.,14600000.0,20500000.0,2011
the sitter,Fox,30400000.0,4500000.0,2011
jane eyre,Focus,11200000.0,23500000.0,2011
shaolin,Vari.,66100.0,33600000.0,2011
african cats,BV,15400000.0,15400000.0,2011
the skin i live in,SPC,3200000.0,27700000.0,2011
i dont know how she does it,Wein.,9700000.0,20900000.0,2011
whats your number,Fox,14000000.0,16399999.0,2011
drive angry,Sum.,10700000.0,18200000.0,2011
carnage 2011,SPC,2500000.0,25100000.0,2011
a dangerous method,SPC,5700000.0,21800000.0,2011
the thing 2011,Uni.,16900000.0,10500000.0,2011
the eagle,Focus,19500000.0,7600000.0,2011
legend of the fist the return of chen zhen,Vari.,50400.0,26500000.0,2011
apollo 18,W/Dim.,17700000.0,7900000.0,2011
biutiful,RAtt.,5100000.0,20000000.0,2011
your highness,Uni.,21600000.0,3300000.0,2011
the rum diary,FD,13100000.0,10800000.0,2011
the women on the 6th floor,Strand,720000.0,22500000.0,2011
potiche,MBox,1600000.0,21600000.0,2011
warrior,LGF,13700000.0,9400000.0,2011
young adult,Par.,16300000.0,6600000.0,2011
sarahs key,Wein.,7700000.0,13400000.0,2011
the way back,NM,2700000.0,17600000.0,2011
a separation,SPC,7100000.0,12800000.0,2011
the guard,SPC,5400000.0,14200000.0,2011
margin call,RAtt.,5400000.0,14200000.0,2011
glee the 3d concert movie,Fox,11900000.0,6800000.0,2011
shame,FoxS,3900000.0,13800000.0,2011
13 assassins,Magn.,803000.0,16800000.0,2011
hoodwinked too hood vs evil,Wein.,10100000.0,6800000.0,2011
the heir apparent largo winch,MBox,10400.0,16900000.0,2011
the last godfather,RAtt.,164000.0,16600000.0,2011
delhi belly,UTV,1500000.0,15200000.0,2011
melancholia,Magn.,3000000.0,12900000.0,2011
judy moody and the not bummer summer,Rela.,15000000.0,678000.0,2011
the conspirator,RAtt.,11500000.0,3900000.0,2011
anonymous,Sony,4500000.0,10900000.0,2011
ip man 2 legend of the grandmaster,Vari.,206000.0,14900000.0,2011
the housemaid,IFC,158000.0,14600000.0,2011
desert flower,NGE,44300.0,14600000.0,2011
pina,IFC,3500000.0,11100000.0,2011
beginners,Focus,5800000.0,8500000.0,2011
my afternoons with margueritte,Cohen,667000.0,13600000.0,2011
i saw the devil,Magn.,129000.0,12600000.0,2011
the hedgehog,NeoC,708000.0,12000000.0,2011
gainsbourg a heroic life,MBox,233000.0,12000000.0,2011
the warring states,CL,69000.0,11800000.0,2011
what women want wo zhi nu run xin,CL,124000.0,11700000.0,2011
snow flower and the secret fan,FoxS,1300000.0,10000000.0,2011
win win,FoxS,10200000.0,652000.0,2011
flying monsters,NGE,5700000.0,5100000.0,2011
city of life and death,Kino,123000.0,10600000.0,2011
le havre,Jan.,612000.0,9900000.0,2011
in a better world,SPC,1000000.0,8600000.0,2011
trespass 2011,MNE,24100.0,9600000.0,2011
saving private perez,LGF,1400000.0,7900000.0,2011
point blank,Magn.,708000.0,8500000.0,2011
winter in wartime,SPC,543000.0,8700000.0,2011
barneys version us only,SPC,4400000.0,4000000.0,2011
outrage 2011,Magn.,44700.0,8400000.0,2011
senna,PDA,1600000.0,6600000.0,2011
last night,Trib.,99000.0,7600000.0,2011
the big year,Fox,7200000.0,244000.0,2011
the beaver,Sum.,971000.0,6300000.0,2011
the princess of montpensier,IFC,352000.0,6400000.0,2011
cave of forgotten dreams,IFC,5300000.0,1200000.0,2011
sex and zen 3d extreme ecstasy,CL,153000.0,6200000.0,2011
we need to talk about kevin,Osci.,1700000.0,4300000.0,2011
attack the block,SGem,1000000.0,4800000.0,2011
even the rain,Vita.,518000.0,5300000.0,2011
young goethe in love,MBox,162000.0,5600000.0,2011
111111,Rocket,32800.0,5700000.0,2011
certified copy,IFC,1400000.0,4099999.0,2011
thank you 2011,UTV,464000.0,5000000.0,2011
the company men,Wein.,4400000.0,441000.0,2011
tucker dale vs evil,Magn.,224000.0,4500000.0,2011
london boulevard,IFC,16100.0,4600000.0,2011
dylan dog dead of night,OMNI/FSR,1200000.0,3400000.0,2011
the names of love,MBox,514000.0,4099999.0,2011
burke and hare,IFC,4800.0,4300000.0,2011
king of devils island,FM,7600.0,4200000.0,2011
bride flight,MBox,501000.0,3700000.0,2011
trollhunter,Magn.,253000.0,3900000.0,2011
carancho,Strand,85500.0,3900000.0,2011
like crazy,ParV,3400000.0,336000.0,2011
the double,Imag.,138000.0,3600000.0,2011
love crime,IFC,540000.0,3100000.0,2011
incendies us only,SPC,2100000.0,1500000.0,2011
martha marcy may marlene,FoxS,3000000.0,548000.0,2011
machine gun preacher,Rela.,539000.0,2800000.0,2011
the last circus,Magn.,40500.0,3200000.0,2011
from prada to nada,LGF,3000000.0,123000.0,2011
flypaper,IFC,5000.0,3100000.0,2011
take shelter,SPC,1700000.0,1400000.0,2011
the greatest miracle,KKM,555000.0,2500000.0,2011
rapt,Lorb.,45800.0,2900000.0,2011
pastorela,LGF,161000.0,2700000.0,2011
the double hour,Gold.,1500000.0,1200000.0,2011
3 2011,Strand,60000.0,2600000.0,2011
oranges and sunshine,Cohen,143000.0,2400000.0,2011
ong bak 3,Magn.,14900.0,2300000.0,2011
poetry,Kino,356000.0,1900000.0,2011
the tree,Zeit.,71200.0,2100000.0,2011
the butcher the chef and the swordsman,CL,47900.0,2000000.0,2011
armadillo,Lorb.,14600.0,2000000.0,2011
brighton rock,IFC,230000.0,1600000.0,2011
a somewhat gentle man,Strand,37700.0,1800000.0,2011
the topp twins untouchable girls,Argo.,29300.0,1800000.0,2011
another earth,FoxS,1300000.0,456000.0,2011
chalet girl,IFC,1700.0,1700000.0,2011
yamla pagla deewana,Eros,993000.0,600000.0,2011
uncle boonmee who can recall his past lives,Strand,184000.0,946000.0,2011
london river,Libre,7200.0,1100000.0,2011
when we leave die fremde,Olive,19600.0,1100000.0,2011
